Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Профессиональное училище № 16 г. Якутска;Якутск;1;85;62,0280273;129,7325717
"Коммунальное государственное учреждение ""Средняя школа №3"" города Курчатова";Курчатов;8;85;51,6605475;35,6571711
"КГУ ""Средняя общеобразовательная школа №2  города Курчатов""";Курчатов;2;85;51,6605475;35,6571711
#56 школа-лицей;Астана;1;85;51,1801;71,44598
Болотнинский педагогический колледж г.Болотное;Болотное;1;85;55,6693773;84,3906599
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №47 города Владикавказа Республики Северная Осетия-Алания;Владикавказ;1;84;43,0205039;44,6819383
"Муниципальное бюджетное общеобразовательное учреждение ""Физико-математический лицей""";Глазов;1;84;58,1359111;52,6634998
Министерство образования Республики Ирак;Багдад;1;84;33,34058;44,40088
Общеобразовательная школа 7 г.Алматы Р.Казахстан;Алматы;1;84;43,25667;76,92861
КГУ средняя школа №4;Аксу;1;84;52,44422;71,95761
Общеобразовательная средняя школа №21 Талгарского района;Гульдала;1;84;43,37540342;77,05583189
Лицей-интернат №1 г. Иркутска;Иркутск;1;84;52,2863513;104,280655
"МАОУ ""Средняя общеобразовательная школа №25 с углубленным изучением отдельных предметов""";Златоуст;1;84;55,1715695;59,6726264
Средняя общеобразовательная школа 15 с углубленным изучением отдельных предметов г.Заринск;Заринск;1;84;53,7063495;84,9314703
МБОУ СОШ №15 с углубленным изучением отдельных предметов ;Заринск;5;84;53,7063495;84,9314703
Катановская средняя общеобразовательная школа Аскизского района Республики Хакасия;Катанов;1;84;53,25970547;90,71166532
"ГБНОУ ""Губернаторская женская гимназия-интернат""";Кемерово;1;84;55,3909721;86,0467864
МБОУ многопрофильный лицей города Кирово-Чепецка Кировской области;Кирово-Чепецк;1;84;58,5559921;50,0317608
Средняя общеобразовательная школа 14 г.Киселевск;Киселевск;1;84;54,0060382;86,6367387
Средняя общеобразовательная школа № 22;Курган;1;84;55,4443448;65,3161339
"муниципальное бюджетное общеобразовательное учреждение ""Средняя школа № 64""";Красноярск;2;84;56,009466;92,8524162
"МАОУ ""Лицей №7 имени Героя Советского Союза Б.К. Чернышева""";Красноярск;1;84;56,009466;92,8524162
Лицей;Лесной;1;84;58,634981;59,7980528
МОУ СОШ№48;Магнитогорск;1;84;53,4071891;58,9791432
Средняя школа Суанчыонг. г.Суанчыонг. провинция Намдинь;Нам Динь;1;84;20,45007336;106,1708045
Физико-математический лицей;Оренбург;1;84;51,7875191;55,1017379
"бюджетное общеобразоваетльное учреждение ""Средняя общеобразоваетльная школа № 4 имени И.И. Стрельникова""";Омск;1;84;54,9848136;73,3674638
Муниципальное бюджетное общеобразовательное учреждение города Новосибирска Средняя общеобразовательная школа № 54 с углубленным изучением предметов социально-гуманитарного цикла;Новосибирск;2;84;55,0281016;82,9210575
КГУ Гимназия 6;Нур-Султан;1;84;51,1801;71,44598
Лицей информационных технологий г.Новосибирск;Новосибирск;1;84;55,0281016;82,9210575
МАОУ СОШ №4 г.Покачи;Покачи;1;84;61,7421977;75,5942069
Средняя общеобразовательная школа 9 г.Чита;Чита;1;84;52,0340128;113,4994884
"МБОУ ""Лицей #153""";Уфа;1;84;54,734853;55,9578647
Средняя общеобразовательная школа-лицей 7 г.Семей Р.Казахстан;Семей;3;84;50,42675;80,26669
"КГУ ""Средняя школа-лицей №5 имени М.В. Ломоносова""";Талдыкорган;1;84;45,01556;78,37389
Средняя школа 22 г.Тараз Р.Казахстан;Тараз;1;84;42,9;71,36667
МБОУ лицей при ТПУ г.Томска;Томск;28;84;56,4847036;84,9481737
Таразский колледж Парасат;Тараз;1;83;42,9;71,36667
Средняя общеобразовательная школа 15 г.Славгород;Славгород;2;83;52,9993053;78,6459674
