Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
"Муниципальное бюджетное общеобразовательное учреждение ""Школа №28 имени Героя Советского союза Д.М.Карбышева";Самара;1;74;53.1951657;50.1067691
"МБОУ ""Районная гимназия"" Эврика ""Олекминского района РС (Я) ";Саха /Якутия/;1;74;65.061073;119.845652
МБОУ СОШ № 7;Сарапул;1;74;56.4616117;53.8036967
"МБОУ ""Лицей"" города Рубцовска Алтайского края";Рубцовск;1;74;51.5013075;81.2077729
"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 1"" городского округа город Сибай Республики Башкортостан";Сибай;1;74;52.7205811;58.6663303
МОУ Средняя школа № 4 городского округа Стрежевой с углубленным изучением отдельных предметов;Стрежевой;1;74;60.7328199;77.6040323
"МАОУ ""Лицей№1"" городского округа г.Стерлитамак Респ.Башкортостан";Стерлитамак;1;74;53.6302498;55.9315707
Средняя общеобразовательная школа 20 г.Сургут;Сургут;1;74;61.2539773;73.3961726
Лицей 3 г.Сургута;Сургут;1;74;61.2539773;73.3961726
МАОУ СОШ 17;Сухой Лог;1;74;56.9075938;62.0358708
Муниципальная средняя (полная) общеобразовательная школа № 83 г.Северск;Северск;5;74;56.6031143;84.8809687
Муниципальная средняя (полная) общеобразовательная школа № 76 г.Северск;Северск;3;74;56.6031143;84.8809687
МОАУ СОШ №2 г. Свободного Амурской области;Свободный;1;74;51.361264;128.1218995
"Государственное бюджетное общеобразовательное учреждения города Севастополя ""Гимназия №5""";Севастополь;1;74;44.58883;33.5224
ГБОУ СОШ №58;Севастополь;1;74;44.58883;33.5224
МБОУ СОШ № 78 г. Северск;Северск;1;74;56.6031143;84.8809687
"МАОУ ""СОШ"" №76";Северск;1;74;56.6031143;84.8809687
Средняя общеобразовательная школа 4 г.Новокузнецка;Новокузнецк;6;74;53.7942757;87.2144046
Средняя (полная) общеобразовательная школа №77 г.Новокузнецка;Новокузнецк;6;74;53.7942757;87.2144046
"муниципальное бюджетное нетиповое общеобразовательное учреждение ""Лицей № 84 имени В.А.Власова ";Новокузнецк;12;74;53.7942757;87.2144046
