Средний_балл;Учебное_заведение;Город;Число_поступающих
86;Гимназия 1;Стерлитамак;1
86;Средняя общеобразовательная школа 34 г.Семей Р.Казахстан;Семей;2
86;Средняя общеобразовательная школа 29 Пальмира г.Семей Р.Казахстан;Семей;5
86;Средняя школа им.Корниенко Абайского р. Карагандинской обл. Р.Казахстан;Топар;1
86;Тюменский государственный университет;Тюмень;1
86;Муниципальное автономное общеобразовательное учреждение лицей №51;Томск;1
85;Восточно-Казахстанский областной специализированный лицей БIЛIМ-ИННОВАЦИЯ для одаренных детей города Семей;Семей;2
85;Профессиональное училище № 16 г. Якутска;Якутск;1
85;"Коммунальное государственное учреждение ""Средняя школа №3"" города Курчатова";Курчатов;8
85;"КГУ ""Средняя общеобразовательная школа №2  города Курчатов""";Курчатов;2
85;#56 школа-лицей;Астана;1
85;Болотнинский педагогический колледж г.Болотное;Болотное;1
84;Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №47 города Владикавказа Республики Северная Осетия-Алания;Владикавказ;1
84;"Муниципальное бюджетное общеобразовательное учреждение ""Физико-математический лицей""";Глазов;1
84;Общеобразовательная средняя школа №21 Талгарского района;Гульдала;1
84;Министерство образования Республики Ирак;Багдад;1
84;Общеобразовательная школа 7 г.Алматы Р.Казахстан;Алматы;1
84;КГУ средняя школа №4;Аксу;1
84;"муниципальное бюджетное общеобразовательное учреждение ""Средняя школа № 64""";Красноярск;2
84;"ГБНОУ ""Губернаторская женская гимназия-интернат""";Кемерово;1
84;МБОУ многопрофильный лицей города Кирово-Чепецка Кировской области;Кирово-Чепецк;1
84;Средняя общеобразовательная школа 14 г.Киселевск;Киселевск;1
84;Катановская средняя общеобразовательная школа Аскизского района Республики Хакасия;Катанов;1
84;Средняя общеобразовательная школа 15 с углубленным изучением отдельных предметов г.Заринск;Заринск;1
84;МБОУ СОШ №15 с углубленным изучением отдельных предметов ;Заринск;5
84;Лицей-интернат №1 г. Иркутска;Иркутск;1
84;"МАОУ ""Средняя общеобразовательная школа №25 с углубленным изучением отдельных предметов""";Златоуст;1
