Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Райчихинск;49,7941882;129,4112149;1;66
Ревда;56,79869;59,9071464;2;72
Ростов-на-Дону;47,2224364;39,7187866;1;94
Рубцовск;51,5013075;81,2077729;19;81
Рузаевка;54,0583238;44,949116;2;87
Рыбинск;58,0483802;38,858338;1;87
Салават;53,3616311;55,9245559;1;76
Салаир;54,2351588;85,8029215;3;76
Самара;53,1951657;50,1067691;2;75
Сарапул;56,4616117;53,8036967;3;81
Саратов;51,530376;45,9530257;4;88
Сатка;55,0404497;59,0288153;1;89
Саяногорск;53,1008226;91,4121643;16;75
Светлоград;45,3284769;42,8566923;1;89
Светлый;54,6774051;20,1356625;1;89
Свободный;51,361264;128,1218995;7;80
Северск;56,6031143;84,8809687;89;78
Серов;59,6048651;60,5752136;2;83
Сибай;52,7205811;58,6663303;1;72
Славгород;52,9993053;78,6459674;3;70
Слюдянка;51,6562679;103,7186877;1;67
Снежинск;56,085232;60,7324989;2;67
Сокол;59,4759156;40,1114414;1;82
Соль-Илецк;51,1634976;54,9895391;1;78
Сорск;54,0001451;90,2595674;3;74
Сосновоборск;56,1202088;93,3353411;5;77
Сочи;43,5855829;39,7231419;1;78
Стерлитамак;53,6302498;55,9315707;6;74
Стрежевой;60,7328199;77,6040323;18;81
Сургут;61,2539773;73,3961726;25;75
Сухой Лог;56,9075938;62,0358708;1;69
Сыктывкар;61,668789;50,8356491;4;69
Тавда;58,0434196;65,2743232;1;76
Тайга;56,0622767;85,6207907;12;70
Тарко-Сале;64,9117649;77,7610204;2;61
Таштагол;52,7594505;87,8477272;10;72
Тверь;56,8585396;35,9117898;1;78
Тобольск;58,2016828;68,2538392;5;85
Тогучин;55,2250038;84,4103867;2;68
Тольятти;53,5206438;49,389461;3;77
Томск;56,4847036;84,9481737;762;76
Топки;55,2766036;85,6153223;4;69
Трехгорный;54,8178174;58,4465039;1;76
Трубчевск;52,5791314;33,7660013;1;69
Тулун;54,5571409;100,5779402;1;72
Туран;52,144932;93,9172495;1;65
Туринск;58,0394258;63,698142;1;82
Тюмень;57,1530824;65,5343118;32;82
Углегорск;49,0816311;142,0693033;1;89
Улан-Удэ;51,8334378;107,5841511;83;81
Ульяновск;54,3080674;48,3748717;2;85
Усолье-Сибирское;52,7567192;103,6387694;8;79
Уссурийск;43,79726;131,9517262;4;77
Усть-Илимск;57,9431325;102,7414683;6;81
Усть-Лабинск;45,222676;39,6930239;1;89
Уфа;54,734853;55,9578647;10;75
Ухта;63,5564779;53,7014202;1;72
Хабаровск;48,4647991;135,0598811;8;72
Ханты-Мансийск;61,0024344;69,0183322;9;77
Хотьково;56,2515725;37,9395225;1;72
Цимлянск;47,6477668;42,093022;1;82
Чапаевск;52,9289662;49,8674222;1;92
Челябинск;55,1603659;61,4007858;11;81
Черепаново;54,2206974;83,3724392;2;71
Череповец;59,1269214;37,9092243;1;80
Черногорск;53,8258425;91,3259669;28;75
Чернушка;56,5161079;56,0763919;1;80
Чита;52,0340128;113,4994884;27;83
Шагонар;51,5347357;92,9199618;1;80
Шадринск;56,0870152;63,6298234;2;60
Шарыпово;55,5389684;89,1801557;17;77
Шахты;47,7084247;40,2159154;1;66
Шелехов;52,2102462;104,0973531;2;82
Югорск;61,3124504;63,3364787;1;71
Южно-Сахалинск;46,959133;142,7381252;16;80
Юрга;55,7202689;84,8885516;121;70
Якутск;62,0280273;129,7325717;28;73
Ялуторовск;56,649167;66,297034;1;91
Яровое;52,9251728;78,5729898;9;79
