Средний_балл;Учебное_заведение;Город;Число_поступающих
91;Средняя общеобразовательная школа с углубленным изучением отдельных предметов 3 г. Ханты-Мансийска Х;Ханты-Мансийск;1
91;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа с.Смоленка;Чита;1
91;Средняя общеобразовательная школа 19 г.Читы;Чита;1
91;Тюменский государственный университет;Тюмень;1
91;Гимназия ТюмГУ;Тюмень;1
91;Средняя общеобразовательная школа 26 г.Улан-Удэ;Улан-Удэ;1
91;"МАОУ ""Средняя общеобразовательная школа №26"" г.Улан-Удэ";Улан-Удэ;1
91;"КГУ ""Общеобразовательная школа №30"" акимата города Усть-Каменогорска";Усть-Каменогорск;3
91;"КГУ ""Школа-лицей №11"" акимата города Усть-Каменогорска";Усть-Каменогорск;1
91;"МБОУ ""Гимназия №9""";Усолье-Сибирское;1
91;Средняя школа 7 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1
91;муниципальное бюджетное общеобразовательное учреждение Тамбовская средняя общеобразовательная школа;Тамбовка;1
91;Академический лицей при Ташкентском государственном техническом университете им Ислама Каримова;Ташкент;1
91;"муниципальное  бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 11""";Таштагол;1
91;Средняя общеобразовательная школа 6 г.Сургут;Сургут;1
91;МБОУ гимназия имени Ф.К.Салманова города Сургута Ханты-Мансийского автономного округа - Югры Тюменской области;Сургут;1
91;Турочакская средняя общеобразовательная школа Республики Алтай;Турочак;1
90;"КГУ ""Опорная школа (РЦ) Б.Момышулы поселка Топар Абайского района Карагандинской области ";Топар;1
90;Средняя школа №8 с дошкольным мини-центром г.Текели;Текели;1
90;"КГУ ""Областная специализированная школа-лицей для детей, одаренных в области математики, физики, информатики""";Усть-Каменогорск;3
90;Тяжинская средняя общеобразовательная школа 2 пгт.Тяжинский;Тяжинский;2
90;Средняя школа Нгуен Бинь Кхием, г. Халонг, провинция Куангнинь;Халонг;1
90;Средняя общеобразовательная школа 9 г.Павлодар Р.Казахстан;Павлодар;1
90;МАОУ Лицей№9;Новосибирск;2
90;"КГУ ""Специализированная мужская школа-лицей-интернат ""Жас Улан"" имени Ш. Уалиханова для одарённых детей";Семей;2
90;Средняя общеобразовательная школа 43 г.Семей Р.Казахстан;Семей;1
90;Средняя общеобразовательная школа 34 г.Семей Р.Казахстан;Семей;2
90;Средняя общеобразовательная школа 112 с углубленным изучением информатики г.Новокузнецка;Новокузнецк;3
90;"ГБОУ ""Курганский областной лицей-интернат для одаренных детей""";Лесниково;2
90;Муниципальная средняя (полная) общеобразовательная школа № 5 г.Колпашево;Колпашево;3
90;"ГАОУ ""Лицей Иннополис""";Казань;2
89;Зоркальцевская муниципальная средняя (полная) общеобразовательная школа;Зоркальцево;1
89;МБОУ СОШ №15 с УИОП;Заринск;1
89;Средняя общеобразовательная школа 7 г.Заринск;Заринск;1
89;"МБОУ ""Средняя школа №90""";Железногорск;4
89;Гимназия № 120 г.Екатеринбурга;Екатеринбург;1
