ID;Балл;Предмет;Город;Дата_Зачисления;Учебное_Заведение
174024;56;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174013;56;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173990;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174005;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174044;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174003;56;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174032;56;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
170125;94;Русский язык;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170125;88;Информатика и ИКТ;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170166;86;Математика;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170166;81;Информатика и ИКТ;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170128;80;Математика;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170128;80;Русский язык;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170125;78;Математика;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170166;76;Русский язык;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170128;66;Физика;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170166;59;Физика;Анжеро-Судженск;03.08.2019;Гимназия 11 г.Анжеро-Судженска
170179;91;Русский язык;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170182;91;Русский язык;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170179;73;Информатика и ИКТ;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170179;70;Математика;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170182;70;Математика;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170182;58;Физика;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа № 22
170143;70;Математика;Анжеро-Судженск;08.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа №12
170143;70;Русский язык;Анжеро-Судженск;08.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа №12
170143;55;Физика;Анжеро-Судженск;08.08.2019;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа №12
170099;96;Математика;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского городского округа Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова
170131;75;Химия;Анжеро-Судженск;29.07.2019;МБОУ Анжеро-Судженского городского округа Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова
170099;72;Физика;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского городского округа Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова
170099;65;Русский язык;Анжеро-Судженск;03.08.2019;МБОУ Анжеро-Судженского городского округа Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова
170131;60;Русский язык;Анжеро-Судженск;29.07.2019;МБОУ Анжеро-Судженского городского округа Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова
