Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Радужный;55.9961034;40.3323247;12;71
Радужный;62.1343067;77.4584346;12;71
Райчихинск;49.7941882;129.4112149;2;64
Рассвет;56.9990000;91.4724000;3;68
Ревда;56.79869;59.9071464;6;71
Риддер;51.073719529613115;83.9453308142338;50;79
Родино;52.4978300;80.2029400;3;87
Ростов-на-Дону;47.2224364;39.7187866;3;82
Рубцовск;51.5013075;81.2077729;53;75
Рудногорск;57.2639000;103.7519000;3;73
Рудный;52.9729000;63.1167700;6;70
Рузаевка;54.0583238;44.949116;6;74
Русская Поляна;53.7794400;73.8805600;6;82
Рыбалово;56.52686655522352;84.52688153333852;3;77
Рыбинск;58.0483802;38.858338;3;73
Садат;44.38683229103312;80.06340062073468;3;51
Садовое;47.7772000;44.5208000;3;73
Салават;53.3616311;55.9245559;3;63
Салаир;54.2351588;85.8029215;9;70
Самара;53.1951657;50.1067691;7;70
Самарканд;39.6541700;66.9597200;7;62
Самарское;46.9370000;39.6881000;3;61
Самусь;56.7448200;84.7042200;18;69
Сангар;63.9230100;127.4713500;3;80
Санкт-Петербург;59.9386300;30.3141300;19;70
Сарань;49.7908000;72.8374400;13;69
Сарапул;56.4616117;53.8036967;9;74
Саратов;51.530376;45.9530257;13;76
Саргатское;55.6100600;73.4971600;3;65
Сариасия;38.412758;67.956869;4;54
Сатка;55.0404497;59.0288153;3;86
Сатпаев;48.10042715814776;67.64664506322983;21;75
Саха /Якутия/;65.061073;119.845652;2;64
Саяногорск;53.1008226;91.4121643;46;70
Свердловская;48.0896400;39.6524300;3;76
Светлоград;45.3284769;42.8566923;3;76
Светлый;54.6774051;20.1356625;3;74
Свободный;51.361264;128.1218995;20;72
Севастополь;44.5888300;33.5224000;6;71
Северобайкальск;55.6357165;109.3362606;1;53
Северо-Казахстанская;58.502017892871095;78.47856851411225;6;65
Северомуйск;56.1480600;113.4266700;2;69
Северск;56.6031143;84.8809687;271;72
Селиваниха;53.73294616380092;91.68359493358577;3;73
Семей;50.4267500;80.2666900;210;78
Серебрянск;49.72633517531581;83.41055775838299;8;68
Серов;59.6048651;60.5752136;6;75
Сетовка;52.24007096540422;85.5408610290813;3;78
Сиань;34.2583300;108.9286100;9;71
Сибай;52.7205811;58.6663303;3;71
Синегорье;62.0878200;150.5216200;3;77
Синьчжоу;38.4091700;112.7333300;3;58
Славгород;52.9993053;78.6459674;9;76
Слюдянка;51.6562679;103.7186877;3;62
Смоленское;52.3044700;85.0785000;6;68
Снежинск;56.085232;60.7324989;6;75
Советское;52.2855600;85.4142400;7;77
Сокол;59.4759156;40.1114414;3;77
Сокулук;42.8540100;74.3025700;3;63
Солонешное;51.6544000;84.3197000;2;76
Соль-Илецк;51.1634976;54.9895391;3;82
Сорск;54.0001451;90.2595674;8;74
Сосновоборск;56.1202088;93.3353411;16;74
Сосново-Озерское;52.5246600;111.5412400;2;64
Сочи;43.5855829;39.7231419;3;76
Сростки;52.4209000;85.6992300;3;54
Сросты;51.9284662904873;81.07835297436438;2;74
Старая Брянь;51.6161366211889;108.17032930095515;3;79
Старая Кулатка;52.7277800;47.6178800;3;74
Старопестерево;54.5001000;86.4094000;4;79
Степановка;46.7948900;29.9868400;3;85
Степногорск;52.3506200;71.8816100;54;70
Стерлитамак;53.6302498;55.9315707;18;70
Стрежевой;60.7328199;77.6040323;54;72
Сукпак;51.6666700;94.6333300;1;70
Сургут;61.2539773;73.3961726;76;71
Сухой;56.9094000;62.0296000;3;77
Сухой Лог;56.9075938;62.0358708;3;67
Сущево;57.94167857449255;40.953551643356185;3;72
Сыктывкар;61.668789;50.8356491;13;69
Сюйчжоу;34.1804500;117.1570700;3;58
Сяньян;34.441154;108.75605;3;54
Табуны;52.7773000;78.7896000;3;82
Тавда;58.0434196;65.2743232;3;74
Тайга;56.0622767;85.6207907;33;65
Таксимо;56.3416200;114.9004800;6;82
Талгар;43.35598057119155;77.30798403174501;3;82
Талдыкорган;45.0155600;78.3738900;28;68
Талнах;69.4865000;88.3972000;3;78
Таловка;52.13099729152416;107.118731485629;9;71
Тальменка;53.8183000;83.5677000;3;71
Тамбовка;50.0996800;128.0572400;4;77
Танайка;55.79455781424428;51.987528404449215;3;68
Тараз;42.9000000;71.3666700;26;66
Тарква;5.300969;-1.993389;3;62
Тарко-Сале;64.9117649;77.7610204;6;64
Татарстан;56.14580590788663;53.375856043987376;3;74
Ташкент;41.2646500;69.2162700;28;56
Таштагол;52.7594505;87.8477272;31;71
Тверь;56.8585396;35.9117898;3;76
Тегульдет;57.3067900;88.1600400;3;82
Текели;44.8332200;78.8308900;21;61
Телин;42.2930600;123.8413900;6;55
Темиртау;50.0549400;72.9646400;14;68
Теректы;45.83805215584568;80.74879657818036;3;55
Терентьевское;54.114400729039886;86.99298087071286;3;68
Тисуль;55.7617300;88.3122800;11;82
Тобольск;58.2016828;68.2538392;16;81
Тогур;58.3631000;82.8265000;9;63
Тогучин;55.2250038;84.4103867;6;65
Тольятти;53.5206438;49.389461;9;77
Томилино;55.6561900;37.9471300;3;80
Томск;56.4847036;84.9481737;2259;72
Томск-7;56.6005600;84.8863900;2;57
Томское;56.862052021286104;85.65882523730802;3;68
Топаново;51.5105000;84.4813000;3;73
Топар;49.547640555362435;72.86679273897286;18;83
Топки;55.2766036;85.6153223;10;65
Топольное;51.5105000;84.4813000;3;76
Топчиха;52.8192000;83.1185000;3;86
Трехгорный;54.8178174;58.4465039;3;78
Троицкое;52.9821000;84.6757000;7;72
Трубчевск;52.5791314;33.7660013;3;65
Трудармейский;54.1320000;86.4098000;3;71
Тулун;54.5571409;100.5779402;3;70
Туран;52.144932;93.9172495;2;63
Туринск;58.0394258;63.698142;3;70
Турочак;52.2576000;87.1224000;4;82
Турсунзаде;38.5143700;68.2332700;3;77
Турунтаево;52.2020300;107.6448400;3;81
Тюлькубас;42.517835364301945;70.34217205973707;3;56
Тюмень;57.1530824;65.5343118;98;78
Тяжинский;56.1160700;88.5227900;17;77
Тяньшуй;34.581504;105.729912;3;67
Уват;59.1422700;68.8888100;2;66
